coordinates,created_at,hashtags,media,urls,favorite_count,id,in_reply_to_screen_name,in_reply_to_status_id,in_reply_to_user_id,lang,place,possibly_sensitive,retweet_count,reweet_id,retweet_screen_name,source,text,tweet_url,user_created_at,user_screen_name,user_default_profile_image,user_description,user_favourites_count,user_followers_count,user_friends_count,user_listed_count,user_location,user_name,user_screen_name,user_statuses_count,user_time_zone,user_urls,user_verified
,Sun May 24 18:31:21 +0000 2020,,https://twitter.com/InsideGones/status/1264625048511447051/photo/1,,462,1264625048511447051,,,,fr,,false,66,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Les images du prochain maillot de l'OL, spécial ""70eme anniversaire"".
(@Footy_Headlines) https://t.co/uAhclKfONf",https://twitter.com/InsideGones/status/1264625048511447051,Thu Jan 21 22:07:12 +0000 2016,InsideGones,false,Toute l'actualité de l'Olympique Lyonnais avec Inside Gones. | ✉️contact@insidegones.fr,2,39939,57,154,,Inside Gones,InsideGones,27562,,https://insidegones.fr,false
,Wed Jun 10 09:30:07 +0000 2020,Lockdown Fake FakeNews,,https://twitter.com/PIBFactCheck/status/1270641032909123585,1,1270649437111672838,,,,bn,,false,0,,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","দাবী: ছ'চিয়েল মিডিয়াত প্ৰচাৰ হৈ থকা এখন ফটো অনুসৰি গৃহ মন্ত্ৰালয়ৰ দ্বাৰা ৰে'ল আৰু বিমান যাত্ৰাৰ প্ৰতিবন্ধকতাৰ লগতে ১৫ জুনৰ পৰা দেশত পুনৰ সম্পূৰ্ণ #Lockdown ৰ প্ৰয়োগ কৰা হ'ব পাৰে।

@PIBFactCheck- এইটো #Fake ।
#FakeNews বিয়পাব পৰা এনে বিভ্ৰান্তিকৰ ফটোৰ পৰা সাৱধানে থাকিব। https://t.co/uWMTnNPMpO",https://twitter.com/PIB_Guwahati/status/1270649437111672838,Mon Feb 25 11:34:24 +0000 2013,PIB_Guwahati,false,"Official Twitter account of Press Information Bureau, Government of India, Guwahati, Assam.",472,8893,70,18,"Guwahati, India",PIB in Assam,PIB_Guwahati,19878,,http://pib.nic.in,true
,Wed May 27 02:54:36 +0000 2020,,,,528,1265476469909676034,Kanko_Jpn,1265476363999314000,2562488760,en,,,675,,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",the Go to Travel Campaign under consideration by the Japanese government is to stimulate domestic travel demand within Japan after the Covid-19 pandemic and only cover a portion of domestic travel expenses.（２／２）,https://twitter.com/Kanko_Jpn/status/1265476469909676034,Thu Jun 12 02:31:03 +0000 2014,Kanko_Jpn,false,観光庁公式アカウントです。#観光庁 ホームページの新着情報を中心に、 国民の皆さまに #観光 に関する様々な情報を発信していきます。 東京都千代田区 · https://t.co/CSSm3dTVwc,60,87868,106,1275,,観光庁（Japan Tourism Agency）,Kanko_Jpn,2938,,,true
,Wed Mar 11 16:26:53 +0000 2020,COVID19 coronavirus,https://twitter.com/WHO/status/1237777021742338049/photo/1,,56698,1237777021742338049,WHO,1237776967526764500,14499829,en,,false,55401,,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","🚨 BREAKING 🚨

""We have therefore made the assessment that #COVID19 can be characterized as a pandemic""-@DrTedros #coronavirus https://t.co/JqdsM2051A",https://twitter.com/WHO/status/1237777021742338049,Wed Apr 23 19:56:27 +0000 2008,WHO,false,"We are the #UnitedNations’ health agency. We are committed to achieving better health for everyone, everywhere - #HealthForAll",11544,8389069,1728,32266,"Geneva, Switzerland",World Health Organization (WHO),WHO,55729,,http://www.who.int,true
,Mon Jun 08 19:53:19 +0000 2020,COVID19,,https://www.who.int/publications/i/item/advice-on-the-use-of-masks-in-the-community-during-home-care-and-in-healthcare-settings-in-the-context-of-the-novel-coronavirus-(2019-ncov)-outbreak,668,1270081492908216320,,,,en,,false,323,,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","1/2

@WHO recently published a summary of transmission of #COVID19, incl. symptomatic, pre-symptomatic and asymptomatic transmission

See page 2 of👇
https://t.co/2OJ2pLT5Iu

In this summary, we state: ""Comprehensive studies...",https://twitter.com/mvankerkhove/status/1270081492908216320,Tue Nov 12 22:07:25 +0000 2013,mvankerkhove,false,"Infectious Disease Epidemiologist; COVID-19 Technical Lead @WHO, WHO Health Emergencies Programme. Mother of 2. Opinions are my own",4425,36967,534,988,"Geneva, Switzerland",Maria Van Kerkhove,mvankerkhove,1955,,http://who.int,true
,Mon Jun 01 06:51:46 +0000 2020,,,,37,1267348093609050112,,,,es,,,39,,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","No se si a Uds. les pasa los mismo (hilo1/2)

Google está instalando secretamente una aplicación de Covid-19 en los móviles

¡Android, el sistema operativo de Google para móviles, está instalando en secreto una aplicación de Covid-19 en los móviles, sin informar a los usuarios!",https://twitter.com/FotografoGus1/status/1267348093609050112,Sun Dec 15 17:40:01 +0000 2019,FotografoGus1,false,"Fotógrafo, videografo y realizador audiovisual //

Si 🆘 zurdito, progre, kirchnerista y sus distintas variantes de peronio, sale Block 🚫",21738,5574,5300,3,,Fotógrafo_Gus 🎥 🎬 📸,FotografoGus1,4877,,,false
,Wed May 20 09:08:20 +0000 2020,COVID19,https://twitter.com/WHOAFRO/status/1263033806132568065/photo/1,https://arcg.is/XvuSX,131,1263033806132568065,,,,en,,false,92,,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Over 90,000 confirmed #COVID19 cases on the African continent - with more than 35,000 recoveries &amp; 2,885 deaths. View country figures &amp; more with the WHO African Region COVID-19 Dashboard: https://t.co/V0fkK8dYTg https://t.co/9qgRXDc1Wz",https://twitter.com/WHOAFRO/status/1263033806132568065,Tue Apr 03 14:18:21 +0000 2012,WHOAFRO,false,Official twitter account for the World Health Organization Regional Office for Africa - WHO/AFRO,4699,215478,539,849,"Brazzaville, Congo",WHO African Region,WHOAFRO,10435,,http://www.afro.who.int,true
,Thu Jun 25 21:30:52 +0000 2020,,,,26,1276266636694163458,,,,es,,,9,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Felicito a @CamaraElectoral por su necesaria, precisa y oportuna acordada extraordinaria 33/2020, en la cual adopta previsiones para garantizar q pese a la amenaza d la pandemia, las elecciones de 2021 se lleven a cabo con plenas garantías sanitarias y electorales.",https://twitter.com/Zovatto55/status/1276266636694163458,Fri Feb 03 05:06:51 +0000 2012,Zovatto55,false,Politólogo y jurista. Experto en elecciones y democracia. Tweets y RT son a título personal y no representan la posición de la institución para la cual trabajo.,3339,16258,1056,0,"Las Condes, Chile",Daniel Zovatto,Zovatto55,26848,,,false
,Wed Apr 15 05:17:26 +0000 2020,,,,376028,1250292126643941376,,,,en,,,95085,,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Halting funding for the World Health Organization during a world health crisis is as dangerous as it sounds. Their work is slowing the spread of COVID-19 and if that work is stopped no other organization can replace them. The world needs @WHO now more than ever.,https://twitter.com/BillGates/status/1250292126643941376,Wed Jun 24 18:44:10 +0000 2009,BillGates,false,Sharing things I'm learning through my foundation work and other interests.,142,52225765,239,119702,"Seattle, WA",Bill Gates,BillGates,3394,,https://gatesnot.es/blog,true
,Fri Jan 25 10:05:17 +0000 2019,ParabensProfHaddad,https://twitter.com/HaddadDebochado/status/1088739576687091712/photo/1,,1073,1088739576687091712,,,,pt,,false,104,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Parabéns para mim. Alguém quer bolo? #ParabensProfHaddad https://t.co/LRo8hNPoI2,https://twitter.com/HaddadDebochado/status/1088739576687091712,Thu Oct 11 00:03:18 +0000 2018,HaddadDebochado,false,Um deboche em meio ao caos político é sempre bem-vindo | @itsIuciano,36151,178532,1057,147,"Ribeirão Preto, Brasil",Haddad Debochado 🇧🇷🏡,HaddadDebochado,24963,,http://www.instagram.com/haddaddebochado,false
